
10884bc6|gwint_desc_redanian
12d84038|gwint_desc_heavy_zerri
16e773e0|gwint_desc_bruxa
16ed9e85|gwint_desc_cahir
16ef977c|gwint_desc_cerys
17035603|gwint_desc_draig
17035777|gwint_desc_draug
1704e0ba|gwint_desc_dummy
17059cf4|gwint_desc_dwarf
170f453a|gwint_desc_emiel
171b7d4a|gwint_desc_fiend
171fbad6|gwint_desc_frost
172946d7|gwint_desc_ghoul
17343a74|gwint_desc_harpy
176030d0|gwint_desc_keira
176e7074|gwint_desc_letho
177c7229|gwint_desc_menno
177e3d0d|gwint_desc_milva
17e0bb42|gwint_desc_tibor
17e4ed5d|gwint_desc_triss
1833b330|gwint_desc_zerri
1a501f2f|gwint_name_assire
1b7606c3|gwint_name_dethmold
1becbb64|gwint_desc_vreemde
1c805174|gwint_desc_botchling
1d24d678|gwint_name_ciaran
1d7ce36c|gwint_name_young_berserker
1d94018e|gwint_desc_cockatrice
1de58ea0|gwint_name_berserker_bear
1ea72bdf|gwint_name_dennis
1eb088b6|gwint_desc_imlerith
1fd93b88|gwint_name_havcaaren_medic
209706c3|gwint_name_eithne
20af220c|gwint_name_ekkima
2112af9c|gwint_name_ermion
21ae9532|gwint_desc_skellige_storm
22053641|gwint_name_katakan
226f4446|gwint_name_fleder
22d6407f|gwint_name_albrich
22fab0bc|gwint_desc_mahakam
23c756c9|gwint_name_geralt
24553604|gwint_desc_francesca_silver
2579f373|gwint_name_hemdal
278f43a2|gwint_name_arachas_behemoth
289d1fec|gwint_name_vrihedd_cadet
29798923|gwint_desc_hjalmar
2a65c850|gwint_name_kayran
2a751041|gwint_desc_young_emisary
2a7fb55|gwint_desc_griffin
2b70d223|gwint_desc_ice_giant
2c501fab|gwint_name_leshen
2cdd8409|gwint_name_dun_banner_medic
2cfe6733|gwint_name_arachas
2d425c62|gwint_desc_clan_an_craite_warrior
2d561f36|gwint_name_poor_infantry
2dd95f1c|gwint_desc_moorvran
2e7b8366|gwint_desc_morteisen
2fb63938|gwint_name_nekker
300e9201|gwint_desc_werewolf
30b7af40|gwint_name_fogling
30bd9cee|gwint_name_botchling
3167d407|gwint_name_light_drakkar
32aabbb1|gwint_desc_renuald
3302658f|gwint_desc_siege_support
358f9a2|gwint_name_esterad
371abfda|gwint_name_rotten
371b6f56|gwint_name_udalryk
373c29cd|gwint_desc_eredin_platinium
3809b9b2|gwint_name_saskia
382430cc|gwint_name_scorch
390f0763|gwint_name_stefan
392e31e1|gwint_name_madman_lugos
39394c39|gwint_name_sweers
3a190b80|gwint_name_thaler
3b4dd4d6|gwint_desc_cynthia
3d60393e|gwint_name_vernon
3d95d450|gwint_name_villen
